,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
Agricultura vanatoare,-0.24198358407277878,0.2050254103761667,0.7677910250510995,0.5400576449197039,-0.12245189170418025,-0.019624887358801274,0.014931175970974313,0.0019884854322501718,-0.04453932071973874,-0.02484562393634946,0.000638870166947697,-0.0025835572002611577,0.002086747793340317,-0.004465357593003862,-0.0019648978881574614,0.0006454885028622547,-4.0279141561520066e-05
Silvicultura exploatarea forestiera,-0.10537646028754674,-0.07383779941632054,0.7745550010702087,-0.6181605471420848,-0.016738089588969135,0.0156018244364471,0.026579919718772736,-0.011614399717285884,0.002038847633893169,-0.0015373301563518572,0.0012407557530348533,0.002010471724555572,-0.0024983539040664827,-4.6687010632334784e-05,-0.0011919296676622282,-0.0003086089796629997,-0.0010201196244835468
Pescuit si piscicultura,-0.06344103969097188,-0.9725881713212664,0.059906810823975164,-0.023407996054533965,0.08655515971966043,-0.11127527235464585,-0.09516504048517714,0.019057513379429,-0.0992927542715942,0.05568532754118695,-0.05017851400938411,-0.03315322071430921,-0.0017798661735252369,-0.0014146095117242277,0.0055099499032255726,9.16641533453726e-05,0.002168987781729645
Industria extractiva,-0.06336905236349206,-0.9764098270820558,0.07457739368430598,0.03569961568548569,-0.003210122804243354,-0.13208313749380032,-0.05706874853936779,0.04954835138987397,0.06279331077637161,-0.03776330796774114,0.0756901326483036,0.03738870043464599,-0.010090630272664233,-0.00017605005704668907,0.0019271143406257804,0.0014633771021909728,-0.00036854416111098393
D Industria prelucratoare,0.7512963158149505,0.5509237654874143,0.15672334341188798,0.017047176344039617,0.2866770333852437,0.004782761880833036,-0.12509859516047164,0.016552428351160078,0.01718944005165268,-0.08920047722494308,-0.005985239490013558,-0.014896790085988288,0.009024832540927556,-0.020260132580083166,0.0046293201684029905,-0.005435487343360079,-0.0009823745863591477
Energie electrica si termica gaze si apa,0.2693748925133336,-0.9123968787603498,0.09388420719696829,0.11402838002002864,0.1450499396486912,0.2182580208566092,0.007357683734697213,0.022028572090639735,-0.04036156803145671,0.02670701336091165,0.023013212862993637,0.029215286916195245,0.0027432589891704822,-0.006827226162087282,-0.012447870805099933,-0.0003507537986750763,-0.0015080606523664628
Constructii,0.9612580905519608,-0.24147132182105358,-0.005157052474206301,-0.006361781670608616,-0.031928236708284895,-0.030484515385788856,0.05627996702384861,-0.040727095261963116,0.010657673154487537,0.03343792865965685,0.05877416052209737,-0.057040899895310936,0.048479392809379226,-0.022001234682513623,-0.007633040811158173,-5.6741460071702304e-05,-0.0004980094971983052
Comert,0.9436312283838604,0.3167450476702622,0.03313729187947486,-0.031134556424475702,0.02952947219041613,-0.013869381612532232,-0.0207695590894417,0.026564773837484217,-0.03966749804183829,-0.005961807850994148,0.023932296212649702,0.0025948406947785244,0.005216634459738348,0.03975149235866995,-0.023131009758447455,0.005144240123170635,0.024624882083040478
Hoteluri si restaurante,0.7403422517457501,-0.6247191443586084,0.05499058632620521,0.08496993563136968,0.11121655628652248,-0.0672069791463022,0.14631908364455704,-0.050108793169591485,0.050874525965077376,-0.04578546458368875,-0.06983762224337639,0.023319120700172214,0.01406126462627451,0.009232052591094515,-0.012991814557858666,-0.0034484620916248833,0.00043640817064124164
Transport si depozitare,0.9044692728313427,0.3483424448551827,0.03919012761612701,0.012612064220200402,0.13147814464408344,-0.04095910067822056,0.1451420857026021,0.12524469407061997,-0.033565783824895244,0.028006202683317473,0.01696492044566881,-0.0045460461093302,-0.01558088658710425,0.00391806124951918,0.02350319016737421,0.009521765560246965,-0.0077892859578704695
