Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
ab,-0.213104548926181,1.0548973666208858,-0.20603886677160826,-0.6078361250477733,1.1794553752947896,0.4370945799880234,-0.44291913371259406,0.20329926887135924,0.5463616151095966,-1.2092148115822043,-0.7331526586115626,-0.2235559725310954,0.29198893576832285,0.3921627408517467,0.3987445241214947,-0.4806802469531298,-0.8429145411160872
ar,-0.029666412657911187,1.1439127274382663,0.267419425239542,-1.4060046589263568,1.799491454032557,0.37039047007828946,-0.6432240568952334,0.719370970238225,0.5754317854593491,-1.6547548045619072,0.30136206342143934,-1.0571820663971463,-0.3735387235393121,-0.8537148735914764,1.2400961613693267,-2.09301920388561,1.7912675117020376
ag,0.014846930016655026,-1.7265386711006834,1.0971438564428229,-0.055141011378962046,0.14094993988723797,-0.5944356579206969,-1.5297302103262327,1.6396436671213006,-1.7323043483862404,-0.633738969698799,2.2367453637278816,-0.07430243222883706,-2.364673264930394,-0.6034367960083918,0.0919490556557868,0.2980409477243684,-1.1241215032423402
bc,-0.007377113063474208,1.0108652476787658,0.9285925263701874,-0.8191527162938947,0.2447793907691945,0.574894839461603,-0.6101950496515803,-0.9452877735023508,0.6157131367024506,1.31098954278986,2.3330199438934316,-0.861574675389816,1.3521672906271023,-0.9298748051961906,-0.3284677127406023,1.5332483181241348,0.35736777284937293
bh,0.13808355313311935,1.207342846869003,0.9122480737122539,1.0136129279050372,1.4942440805860715,-0.28213654548823514,-0.6597751254808198,-0.15520042240980098,0.14542531080561905,-0.8400035342774266,0.2107958196328667,-0.6390475839197051,0.36057480622672367,2.2813934680017636,0.04488027109918824,-0.6137632056927127,-1.5796858292546707
bn,-0.39197534200636575,-0.23501478500131187,-0.5726089444715082,-0.5320700966016384,-0.20576290435676853,-0.3130086926164037,-0.17733747777883743,0.49375467287027763,0.12675463197128448,0.6368825658450514,0.10195971239162854,0.9763761923259895,0.7466022645898038,-0.5913201448875689,-1.002590916211627,0.023495168301734738,0.3984606456172242
bt,-0.3891575802767841,0.30661952528382463,-0.0494079053046926,0.8523173535243349,-1.8774180948152916,1.0292427458456923,0.8161463507793438,0.30617831817268176,1.6689520067836785,-1.2944583562399379,1.5178797646638467,0.7951448861709887,0.31074309674480677,-0.5727957876253122,0.17396652346570124,-0.44518461824232625,-0.3800130526188334
br,-0.3149036470916148,-0.3273775928246576,-1.2603585803579729,0.24508985222174984,0.18152353418896924,0.851222496093911,-0.6555004815065046,0.2456766638095735,-0.6133019881548822,1.0625186300147982,1.236438193314141,1.0625855032182465,0.0556115329769816,-1.0254300023898584,0.12692871451613974,0.642619679500852,0.41287425982016307
bv,0.3220118402080055,-1.9783650994113857,-0.3498959019884931,-0.423474466956315,1.5170226060132768,2.543235439233959,0.5444353075489758,0.021450540704730237,0.7575392754827046,-0.13031568205844654,1.366194153314691,-0.27985033972861983,0.9533527399393997,0.6620606624259683,-2.6360305137910403,-1.1434018917216313,0.3100013004264133
bz,-0.29094511203151796,1.0999401338909132,0.017899647392993875,0.6702578757996437,-0.05777092254778199,0.23153966694410194,-0.7757221249496915,0.3009761240572412,-0.4598370557439993,-0.9600650011440339,-0.07394116703125792,-0.9394989154710333,-0.18957466225614036,0.04136391942582872,-0.5546574006787592,0.48811354035870896,1.6585517660222242
cl,-0.504195123663533,0.9976826796031548,-1.0716773147081478,0.054459221726970465,-0.37970007070266004,0.3694542894035127,-0.33414826965491073,-0.08156079798373966,-0.2602143444705004,0.43683801002857514,-0.1886366200923861,-0.15518000320359998,-1.0928300728366318,0.2534454778185225,-0.3605362251036231,0.6824669357991295,-0.9931763718089696
cs,-0.3890168356273629,-0.13328334221903995,0.4093302169359955,-2.1813944661343605,-0.3012001197112947,0.3244691923734682,0.6584157506527397,-0.5133771845070064,0.3378771917138895,0.46694897030278343,-0.697274332823615,1.5771014426159609,-0.9243562795059361,0.32819123819940255,-0.20254399245494023,-1.1221370047794386,-0.697482788680033
cj,0.7990099331324393,-2.3460039345483263,0.6630055327985389,1.8095932580740448,0.026330133169088114,1.7079706039153408,0.3001379147183477,-0.6996725744221907,2.211719958147435,-0.03972863755187546,-1.3793669361768173,-2.2884516582567045,-1.6509084453102478,-1.3158943123306468,0.9500347583218426,1.9272699884809263,-0.3160950684639966
ct,0.6145757741296564,0.9506384902406713,-0.15977569187407228,1.0626800097940057,2.2136033368369157,-0.96241660693296,4.621417329569237,2.5756786914210257,-0.2949712295311796,1.5639320183910936,0.5158882949819736,-0.34632394535898836,-0.08006202067528759,-0.6363711605630877,0.45697931308800277,0.4132983668768881,-0.37254791343115595
cv,-0.501452550646914,0.06847462651045083,-1.3388544957775907,-1.2148605754235369,-0.21714858420147723,-0.8593070009615366,-0.6091258347859633,0.4587885493742244,0.44885657192718864,0.6698454579910378,0.728704721479429,-0.5624292683128299,-0.540913054129957,0.24102147646090916,0.6549170016769094,0.9491319234835018,0.49085498403180106
db,-0.17919173118273646,1.1046276740812442,0.2772409861434129,0.3061388365127697,0.6437588038925025,0.11445746424660459,-0.4890439912022842,1.0164789036459194,0.08968576028678937,-0.7957490714216554,0.022332937485097702,-0.24903799364068258,-0.8465769661116029,1.3783975741759042,0.8704599394655571,-0.5835619582774707,-1.2970647038151113
dj,0.06461856637929891,1.1023584417909353,1.3039387494446817,1.9263595240055653,-0.3466461063495056,0.4635187282204516,-0.4397673923652431,-0.11351856337825772,-0.8574145393787606,0.35117910790008827,0.5696879519782964,-0.919125359647498,0.22438154231190663,2.1677347109063096,-2.08868970283709,0.5207860898236043,1.9488350493077107
gl,0.018482597759925806,-1.0336093789473801,-0.47354957712558166,1.3055728017170185,0.23611294132959038,0.9272668896715843,0.3558691384789621,0.07302694109827713,-0.06337441923505176,-0.7834603384218622,-1.2660294082376582,0.3345943900023916,0.4293808795236799,0.26140767076944177,-0.4296821214168695,-1.198112278230226,0.10103182534862229
