,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
Agricultura vanatoare,0.0585560549607076,0.10059147386062317,0.6900945320096413,0.9817567918458583,0.9967512576277906,0.9971363938316362,0.9973593338475124,0.9973632879218267,0.9993470390120025,0.999964344040789,0.9999647521958792,0.9999714269636862,0.9999757814800393,0.9999957208984727,0.9999995817221835,0.9999999983775908,1.0
Silvicultura exploatarea forestiera,0.011104198382732916,0.016556219005377702,0.6164916686882487,0.9986141307312504,0.9988942943743387,0.9991377113000844,0.9998442034323408,0.9999790977131338,0.999983254612808,0.9999856179968176,0.9999871574716563,0.9999911994682116,0.9999974412404415,0.9999974434201185,0.9999988641164512,0.9999989593559535,1.0000000000000018
Pescuit si piscicultura,0.0040247655170714694,0.9499525165111165,0.953541342494216,0.9540892767735051,0.961581072447601,0.9739632586852016,0.983019643615747,0.9833828324319541,0.9932418834827933,0.9963427391861626,0.9988606224543525,0.9999597584980842,0.9999629264216798,0.9999649275417505,0.9999952870896865,0.9999952954920035,1.0000000000000009
Industria extractiva,0.0040156367974469994,0.9573917872198571,0.962953574868601,0.9642280374286923,0.9642383423171107,0.9816842975273169,0.9849411395871664,0.9873961787126209,0.9913391785908788,0.9927652460195453,0.998494242199863,0.9998921571200547,0.9999939779393544,0.999994008932977,0.9999977227026589,0.999999864175202,1.0000000000000007
D Industria prelucratoare,0.5644461541571179,0.8679631495359493,0.8925253559061499,0.8928159621274547,0.9749996835980188,0.9750225584092276,0.9906722169203511,0.9909461998046714,0.9912416766539607,0.9991984017911183,0.9992342248828711,0.999456139237737,0.9995375868401288,0.9999480598122914,0.9999694904175129,0.9999990349401727,1.0000000000000007
Energie electrica si termica gaze si apa,0.07256283271657002,0.9050308970881985,0.9138451414492018,0.9268476128991939,0.9478870978912829,0.995523661559527,0.9955777970694668,0.9960630550578193,0.9976921112317773,0.9984053757944372,0.9989349837607147,0.9997885167503102,0.9997960422201919,0.9998426532372602,0.9999976027248406,0.9999977257530679,0.9999999999999991
Constructii,0.9240171166516016,0.9823255159136084,0.9823521111038301,0.9823925833698546,0.9834119956691548,0.9843413013474612,0.9875087360356667,0.9891674323241437,0.9892810183212116,0.9903991133942599,0.9938535153393372,0.9971071796002041,0.9994574311273702,0.9999414854549252,0.9999997487669501,0.9999997519865433,1.0000000000000027
Comert,0.8904398951812332,0.9907673204048699,0.9918654005179754,0.9928347611217243,0.9937067508495688,0.9938991105958829,0.9943304851806527,0.9950361723896893,0.9966096827905886,0.9966452259434407,0.9972179807454508,0.9972247139436821,0.9972519272187685,0.9988321083635099,0.9993671519759553,0.9993936151824001,1.0000000000000038
Hoteluri si restaurante,0.5481066497199676,0.9383806590481194,0.9414046236326192,0.9486245135938184,0.9609936359860516,0.9655104140320231,0.9869196882706059,0.9894305794235189,0.9920187968156902,0.9941151055828343,0.9989923990634428,0.999536180453672,0.9997338996165621,0.9998191304116069,0.9999879176571127,0.9999998095479101,1.0000000000000016
Transport si depozitare,0.8180646654960578,0.9394071243837439,0.9409429904863121,0.9411020546502066,0.9583885571692571,0.9600662050976256,0.9811324301397272,0.9968186635325703,0.99794532537635,0.998729672765089,0.9990174812908168,0.9990381478260449,0.9992809118528851,0.9992962630568402,0.999848663004884,0.9999393270242682,1.0000000000000018
Posta si telecomunicatii,0.9618765016400543,0.9619793349509602,0.9671328157306573,0.9723938243730296,0.990906314032358,0.9909139142437212,0.9956709153832549,0.9958899534927925,0.9962755607235405,0.9971388930870049,0.9979242325312639,0.9984098588629493,0.9985666649435447,0.9986513169266723,0.9988885938231423,0.9998747229467227,1.0000000000000038
Intermedieri financiare,0.7420070983294963,0.9616749894008284,0.969189527513772,0.9694059976105416,0.9736108821025551,0.9759162351308756,0.9762247048252048,0.9870287402300788,0.98949562125307,0.9968090707724618,0.9972880350036184,0.9981229052778922,0.998937553936296,0.9991598152628615,0.9999890724727222,0.9999997943563035,1.0000000000000007
Tranzactii imobiliare si alte servicii,0.9392931693846861,0.9588260183894504,0.9663733181645401,0.9725885045396646,0.9892273082389882,0.9895961289442493,0.9905499581368686,0.9914300640018906,0.9965990968660411,0.9967587322408603,0.9967643545659183,0.9982989000330904,0.9989413291627823,0.9991447033921308,0.9991670718933101,0.9998574263185863,1.0000000000000033
Administratie publica si aparare,0.7957630793009494,0.9391771116088725,0.9431936826949493,0.9443278230992594,0.969548856667919,0.9747473397477958,0.9759931867448091,0.9878733406111054,0.9958479157607292,0.9958808756444177,0.9970122454387665,0.9995332645881209,0.999820575248024,0.9998804072386029,0.9999179044744884,0.9999999944744891,1.0000000000000009
Invatamant,0.9283150288199195,0.9319196652984476,0.9686698674562596,0.9771829378158483,0.9772045496377805,0.9777550593498796,0.9825772580289036,0.9849008461798751,0.9896875420580223,0.996831400627866,0.9970793538094264,0.9980344905043245,0.9982525134043031,0.9983036802221547,0.9999340762889017,0.999954024290096,1.0000000000000044
