,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
1,b,ph,sv,cs,tm,bv,ct,if,vs,is,bc,ph,ag,tm,bv,sb,dj
2,cj,cj,nt,dj,ct,gj,if,ct,cj,if,ag,cj,hd,sb,mm,ar,il
3,ct,bv,if,cj,bt,if,tm,is,gj,ar,ms,nt,tl,bh,vs,cj,ar
4,tm,ag,sj,nt,ar,cj,sv,ag,ag,ct,gj,tm,nt,dj,dj,is,sv
5,gr,tm,cv,tr,vs,ms,ag,ot,tr,tm,bt,vs,sv,sj,hd,bc,bz
6,cl,bh,dj,is,tr,sb,is,db,bt,hd,vs,cs,cj,db,ph,tm,nt
7,il,sb,br,ar,nt,gr,nt,sm,ms,bc,cj,tr,sj,cj,gj,sv,bh
8,cv,is,tl,ot,ph,tr,sm,bc,sb,bt,bv,hd,bc,ph,ar,mm,vl
9,mh,ms,gr,sv,bv,hr,gr,sv,ot,ab,if,gr,tm,tl,bn,hr,ph
10,sj,ar,mm,gl,bh,sj,bt,mm,ph,vs,gl,sv,cl,br,is,il,db
11,tl,db,ag,hd,b,mm,bz,ar,vl,br,br,br,if,bc,cj,gl,sb
12,tr,dj,il,cv,ab,bt,ot,cj,mh,bz,tm,ar,gr,hd,tl,bv,ms
13,vn,bz,cl,sb,ot,ct,bh,hr,gr,ms,sv,bn,bv,ar,ot,cs,ag
14,bn,ab,ph,tl,sv,gl,cs,gr,dj,gj,gr,bz,gj,mh,db,ms,is
15,bt,sv,is,ct,vn,vl,br,ms,hr,bh,mm,dj,cs,ot,sj,cv,cl
16,cs,gl,bc,bh,sb,sm,ar,tm,is,db,mh,gj,ms,sm,sm,mh,tr
17,vs,bc,b,bt,mm,mh,bc,cs,if,gl,sj,bc,db,tr,gr,if,hd
18,ot,cl,bh,vs,db,cv,cv,bn,bv,nt,tr,hr,vl,bv,tm,sj,ab
19,sm,il,tm,bc,if,br,sb,ph,sj,cv,ab,if,mh,ct,ms,gj,hr
20,hr,hd,sm,b,hr,tm,bv,cv,bc,tr,cv,bt,bn,ag,cv,cl,ot
21,is,ct,cj,ms,hd,ag,vs,vl,br,bn,cs,mh,hr,bn,il,br,tm
22,ph,tl,gj,hr,gr,bc,ms,hd,tl,ag,vl,ot,tr,bt,mh,bh,mh
23,bv,mm,mh,bz,sm,ph,db,vs,ar,tl,is,is,sb,mm,bz,tl,gr
24,br,if,bn,sm,il,vn,ab,bt,ab,mh,dj,bh,is,if,if,gr,cs
25,nt,b,sb,ab,cl,dj,mh,bz,hd,sm,nt,il,cv,ab,ct,db,mm
26,gj,vl,ms,gj,dj,vs,dj,mh,tm,ph,ct,vn,vn,nt,gl,dj,vn
27,bz,nt,hr,tm,mh,ab,hd,br,b,cs,tl,mm,gl,vs,ab,tr,vs
28,vl,gr,gl,bn,gj,hd,gl,gj,bz,cl,sm,cv,il,cs,tr,bz,cv
29,ab,sm,cs,bv,cs,tl,hr,tr,cv,dj,ph,sm,ar,b,vn,ab,sj
30,mm,gj,bv,mm,ms,ar,cl,ab,mm,hr,sb,ct,bh,gl,cl,bt,if
31,db,br,vs,ph,is,cl,gj,il,nt,vn,ar,gl,mm,cl,bc,ct,tl
32,bh,bt,db,db,bc,cs,cj,b,sv,vl,vn,bv,sm,is,hr,hd,br
33,sv,vs,ar,if,gl,bn,b,bh,cs,b,hd,ms,bt,cv,cs,vs,bn
34,hd,hr,ab,il,sj,il,bn,nt,vn,sv,bh,db,ab,il,vl,ot,bt
35,ms,ot,hd,br,cv,bh,vn,tl,il,sb,cl,sj,ph,gj,sb,ag,ct
36,if,tr,vn,mh,bn,sv,mm,dj,ct,sj,ot,ab,dj,hr,bt,vn,bc
37,dj,bn,ct,sj,br,ot,tr,sj,sm,mm,hr,b,vs,sv,sv,sm,cj
38,sb,cs,tr,vn,ag,bz,ph,vn,cl,il,bn,cl,bz,gr,br,vl,bv
39,ar,mh,ot,gr,vl,nt,il,cl,bh,bv,bz,vl,ot,bz,ag,b,gj
40,gl,cv,bt,vl,bz,is,sj,gl,bn,ot,il,ag,b,vn,bh,nt,gl
41,ag,vn,bz,ag,cj,db,tl,sb,db,gr,b,tl,ct,ms,nt,ph,sm
42,bc,sj,vl,cl,tl,b,vl,bv,gl,cj,db,sb,br,vl,b,bn,b
