,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
Agricultura vanatoare,-0.24191298187780425,-0.20497056644168374,0.7826152425648987,0.5142889704735062,-0.12081699231133289,0.019599759657101014,-0.013789984995863088,0.0019396083321976186,0.04201643608468948,0.023143495102747037,0.0005497919850723855,-0.002102171332492153,-0.0012516693867484071,0.001961540021460381,0.00027739372006872943,0.0,0.0
Silvicultura exploatarea forestiera,-0.10493381681649198,0.07297809243512372,0.7430322472719226,-0.6237166694176788,-0.01744012053781494,-0.01514335637590725,-0.027208992099131947,-0.011680331295431926,-0.00203072211782779,0.0015097066204251563,0.0011310824986112268,0.0016924119067531695,0.0015240102838493903,2.1633081522547123e-05,0.00017927917001170113,0.0,0.0
Pescuit si piscicultura,-0.06341852948180114,0.9720086691876005,0.06023972175412493,-0.027082727161362747,0.08531493783263516,0.10572585420509346,0.09439539291631584,0.018441783349566997,0.09364615572035967,-0.052008757602328565,-0.043831154119335976,-0.026879872145480974,0.0009927509846098677,0.0006220020459062763,-0.0007921183657743388,0.0,0.0
Industria extractiva,-0.06334742031367915,0.9758317432120931,0.0762378426553832,0.032152520928344405,-0.0033189086382641145,0.12709737223101114,0.05829680631540421,0.04801099339736477,-0.059027794753630014,0.035147211339080796,0.06603564663647117,0.030212837879326077,0.005957852613194237,7.975964088653233e-05,-0.0002649147622883461,0.0,0.0
D Industria prelucratoare,0.7511136000957603,-0.550632739639484,0.15736571784020573,0.010992288457154957,0.2834078333889007,-0.007707938115233945,0.12120264961704491,0.016364592340885196,-0.01609112376665573,0.08316216328249643,-0.005223786253479823,-0.012050456548318735,-0.005329878678382467,0.008902435114716075,-0.0006750585389547824,0.0,0.0
Energie electrica si termica gaze si apa,0.26931334865141227,0.911857222263741,0.0971754157247223,0.11081383821995713,0.14375351039280204,-0.21210603585913176,-0.012015809117135338,0.020676442039457718,0.03803917905692582,-0.024928418650305463,0.020069700748943965,0.023627028046864364,-0.0016392937143414135,0.002998253429620795,0.0017784380341016668,0.0,0.0
Constructii,0.9610231396378499,0.24131923933629776,-0.0054633887066391,-0.005927986907254259,-0.03156550873256874,0.03102487830597907,-0.05387948258922092,-0.03921627455342326,-0.010167755421247787,-0.031114029132751318,0.05143475201419119,-0.04594465583540579,-0.028510389304384563,0.009659136215397398,0.0010486652370327097,0.0,0.0
Comert,0.9433997180211053,-0.31657901291404006,0.03219682057923835,-0.03232106480296909,0.02907424331629395,0.012796045279485531,0.020072723063675656,0.02529718833715699,0.03741938752787273,0.0055399119806047925,0.020916797678127555,0.002164751421403313,-0.003004816479156827,-0.01747200767182544,0.003330509448085554,0.0,0.0
Hoteluri si restaurante,0.7401631072729384,0.6243455525842939,0.05720879701043115,0.08345827791856696,0.11027744062521513,0.06922233483467342,-0.13985263585953359,-0.04813807266815211,-0.04805334555008971,0.04279064233992253,-0.06096941803272504,0.018883283065859565,-0.00826791306518118,-0.00406145364847639,0.0018478629846412867,0.0,0.0
Transport si depozitare,0.9042463912830994,-0.3481538579261309,0.03922644205674491,0.01163966163157667,0.13014020306026838,0.043089089929477964,-0.14053223500684503,0.11904506106129206,0.03173009004536215,-0.026177813391968768,0.014796380451747061,-0.0037098158045811157,0.00921178003910947,-0.0017160509096436417,-0.0033527765583952836,0.0,0.0
Posta si telecomunicatii,0.9805114738395105,-0.010141887557676213,-0.07393244911770877,-0.06990716678506245,-0.13474180879278141,-0.004463184736446242,0.06664777985925648,0.014368185191081247,0.0185739831417046,0.027367946895543456,-0.024506013058653017,0.01778961445613208,-0.007440779371536021,0.0040384303800196,0.0021869103064390233,0.0,0.0
Intermedieri financiare,0.8611865663976276,0.46841585210246495,-0.08736997085698403,-0.011144798428640162,-0.06400435279112414,-0.04598651594332793,-0.017472179855550333,-0.09937741206719146,0.04671543273133878,0.07981772589817164,0.01916239255596079,-0.023346137019414775,0.016897533807351046,-0.006542038874210548,-0.004088956717664961,0.0,0.0
Tranzactii imobiliare si alte servicii,0.968931727970784,-0.13968349949259176,-0.08928575776722976,-0.0755640867430568,-0.12772547551422486,0.017794007063240653,0.03011543980090882,0.02839610753271118,0.06784518057382684,0.011717658274933438,0.002024672893560705,0.03168229555594464,-0.014919132320226555,-0.006272870785192656,-0.0007182794329555726,0.0,0.0
Administratie publica si aparare,0.8918395076942007,0.3784619950948959,0.06430424010835077,0.031628899557798976,-0.15715509979432965,-0.07132557826399258,0.031919273730953046,0.10415540993749957,-0.08405973803055333,0.0053351884697403346,-0.029370609011142974,-0.040704547854843995,0.009816860532007128,-0.0033988092526296776,0.0008780206615700784,0.0,0.0
Invatamant,0.963258110193291,-0.060035664010413506,0.1942217916615047,0.08571485428059451,-0.004645014474774883,-0.024472445130899745,0.06694860362188308,-0.045871117665111594,-0.06531547991011719,-0.07877251063836654,-0.013730627117966932,0.0251094725042515,-0.008374244708095389,-0.0031382107077355267,-0.005768689625306743,0.0,0.0
Sanatate si asistenta sociala,0.9313420530599016,-0.3003355407807425,0.10509788840855529,0.07679439241649955,0.07756365986732418,0.041377992641838064,0.039250945040760724,-0.079098589863835,-0.017004439823503907,-0.0659781661513616,0.016280452959026047,-0.003392931449902771,0.023128592693473626,-0.004675486584954274,0.004084053828850394,0.0,0.0
Celelalte activitati ale economiei nationale,0.9831670654469755,-0.09062172299518188,-0.08079625937442429,-0.046647427324573935,-0.0920013539743019,0.024532937090271236,-0.03038543298727668,-0.003717775227915013,0.025304483824056465,-0.00889886500948187,-0.007546793523900927,0.021660069720025352,0.018040091646572744,0.023338998591837933,0.0006146183353412529,0.0,0.0
