Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
ab,-2.43981029644912,2.4398102964491204,-2.43981029644912,-2.43981029644912,2.43981029644912,2.43981029644912,-2.43981029644912,2.43981029644912,2.43981029644912,-2.43981029644912,-2.43981029644912,-2.43981029644912,2.43981029644912,2.43981029644912,2.43981029644912,-2.4398102964491204,-2.4398102964491204
ar,-2.845846484158856,2.8458464841588564,2.845846484158856,-2.845846484158856,2.845846484158856,2.845846484158856,-2.845846484158856,2.8458464841588564,2.845846484158856,-2.845846484158856,2.845846484158856,-2.845846484158856,-2.8458464841588564,-2.845846484158856,2.845846484158856,-2.845846484158856,2.845846484158856
ag,3.863475344790505,-3.8634753447905057,3.8634753447905057,-3.8634753447905057,3.8634753447905053,-3.8634753447905057,-3.8634753447905057,3.8634753447905057,-3.8634753447905057,-3.8634753447905057,3.8634753447905057,-3.8634753447905057,-3.8634753447905053,-3.8634753447905057,3.8634753447905053,3.8634753447905053,-3.8634753447905057
bc,-2.5134939746869573,2.5134939746869573,2.5134939746869573,-2.5134939746869573,2.513493974686957,2.5134939746869573,-2.513493974686957,-2.5134939746869573,2.5134939746869573,2.5134939746869573,2.5134939746869573,-2.5134939746869573,2.5134939746869573,-2.513493974686957,-2.5134939746869573,2.5134939746869573,2.5134939746869573
bh,2.976874358777716,2.976874358777716,2.976874358777716,2.9768743587777156,2.976874358777716,-2.976874358777716,-2.976874358777716,-2.976874358777716,2.9768743587777156,-2.9768743587777156,2.976874358777716,-2.976874358777716,2.976874358777716,2.9768743587777156,2.976874358777716,-2.976874358777716,-2.9768743587777156
bn,-1.5815204013768533,-1.5815204013768533,-1.5815204013768536,-1.5815204013768536,-1.5815204013768536,-1.5815204013768538,-1.5815204013768536,1.5815204013768533,1.5815204013768533,1.5815204013768536,1.5815204013768533,1.5815204013768533,1.5815204013768536,-1.5815204013768533,-1.5815204013768536,1.5815204013768536,1.5815204013768536
bt,-1.9267547447516267,1.9267547447516264,-1.9267547447516264,1.9267547447516262,-1.9267547447516264,1.9267547447516262,1.9267547447516262,1.9267547447516264,1.9267547447516262,-1.9267547447516264,1.9267547447516264,1.9267547447516264,1.9267547447516264,-1.9267547447516262,1.9267547447516267,-1.9267547447516267,-1.9267547447516264
br,-1.9557897596706404,-1.9557897596706404,-1.9557897596706402,1.9557897596706404,1.9557897596706404,1.9557897596706406,-1.9557897596706404,1.9557897596706404,-1.9557897596706402,1.9557897596706404,1.9557897596706406,1.9557897596706404,1.9557897596706402,-1.9557897596706406,1.9557897596706404,1.9557897596706404,1.9557897596706404
bv,4.385768906031176,-4.385768906031176,-4.385768906031176,-4.385768906031176,4.385768906031176,4.385768906031176,4.385768906031177,4.385768906031176,4.385768906031175,-4.385768906031176,4.385768906031176,-4.385768906031176,4.385768906031176,4.385768906031176,-4.385768906031176,-4.385768906031176,4.385768906031176
bz,-2.537408721161344,2.537408721161344,2.537408721161344,2.537408721161344,-2.537408721161344,2.537408721161344,-2.537408721161344,2.537408721161344,-2.5374087211613436,-2.537408721161344,-2.5374087211613436,-2.537408721161344,-2.537408721161344,2.537408721161344,-2.537408721161344,2.537408721161344,2.537408721161344
cl,-2.894817131998348,2.8948171319983484,-2.8948171319983484,2.894817131998348,-2.894817131998348,2.894817131998348,-2.894817131998348,-2.8948171319983484,-2.894817131998348,2.894817131998348,-2.894817131998348,-2.894817131998348,-2.8948171319983484,2.8948171319983484,-2.894817131998348,2.894817131998348,-2.8948171319983484
cs,-2.3327202758418206,-2.33272027584182,2.33272027584182,-2.33272027584182,-2.3327202758418206,2.33272027584182,2.3327202758418206,-2.33272027584182,2.33272027584182,2.3327202758418206,-2.3327202758418206,2.33272027584182,-2.3327202758418206,2.33272027584182,-2.33272027584182,-2.33272027584182,-2.3327202758418206
cj,5.781699660784746,-5.781699660784746,5.781699660784746,5.781699660784745,5.781699660784745,5.781699660784745,5.781699660784745,-5.781699660784745,5.781699660784745,-5.781699660784746,-5.781699660784745,-5.781699660784745,-5.781699660784746,-5.781699660784745,5.781699660784745,5.781699660784745,-5.781699660784745
ct,3.4860728139148347,3.4860728139148343,-3.4860728139148343,3.4860728139148347,3.4860728139148347,-3.486072813914835,3.4860728139148347,3.4860728139148347,-3.486072813914835,3.4860728139148343,3.4860728139148347,-3.4860728139148343,-3.4860728139148347,-3.4860728139148347,3.4860728139148347,3.4860728139148347,-3.4860728139148347
cv,-2.4834340069767156,2.4834340069767156,-2.4834340069767156,-2.4834340069767156,-2.4834340069767156,-2.4834340069767156,-2.4834340069767156,2.4834340069767156,2.4834340069767156,2.4834340069767156,2.4834340069767156,-2.4834340069767156,-2.4834340069767156,2.4834340069767156,2.4834340069767156,2.4834340069767156,2.4834340069767156
db,-2.427875483484556,2.427875483484556,2.427875483484556,2.427875483484556,2.427875483484556,2.427875483484556,-2.427875483484556,2.427875483484556,2.427875483484556,-2.427875483484556,2.427875483484556,-2.427875483484556,-2.427875483484556,2.427875483484556,2.427875483484556,-2.427875483484556,-2.427875483484556
dj,3.210961722465766,3.2109617224657665,3.2109617224657665,3.2109617224657665,-3.2109617224657665,3.2109617224657665,-3.2109617224657665,-3.210961722465767,-3.2109617224657665,3.2109617224657665,3.2109617224657665,-3.210961722465767,3.2109617224657665,3.2109617224657665,-3.2109617224657665,3.2109617224657665,3.210961722465766
gl,2.497711327908106,-2.4977113279081062,-2.497711327908106,2.4977113279081062,2.4977113279081062,2.4977113279081062,2.4977113279081062,2.4977113279081062,-2.497711327908106,-2.4977113279081062,-2.4977113279081062,2.4977113279081062,2.497711327908106,2.497711327908106,-2.4977113279081062,-2.497711327908106,2.4977113279081062
gr,-2.4104232165870694,2.41042321658707,-2.41042321658707,2.41042321658707,-2.4104232165870703,2.41042321658707,2.41042321658707,-2.41042321658707,-2.41042321658707,-2.41042321658707,-2.41042321658707,2.41042321658707,2.41042321658707,-2.41042321658707,-2.41042321658707,2.41042321658707,-2.41042321658707
gj,-1.729454116821785,-1.7294541168217852,-1.729454116821785,-1.729454116821785,1.7294541168217852,1.729454116821785,-1.729454116821785,-1.7294541168217852,-1.7294541168217852,1.729454116821785,-1.729454116821785,-1.7294541168217852,-1.729454116821785,1.7294541168217852,1.7294541168217852,-1.729454116821785,1.7294541168217852
hr,-1.6191363962144238,-1.6191363962144238,-1.6191363962144238,-1.6191363962144238,-1.6191363962144238,-1.6191363962144238,-1.6191363962144238,1.6191363962144238,1.6191363962144238,1.6191363962144238,-1.619136396214424,-1.6191363962144238,-1.619136396214424,1.6191363962144238,-1.6191363962144238,-1.619136396214424,1.6191363962144238
