Indicativ,Componente
ab,"['C2', 'C9', 'C6', 'C15', 'C14', 'C13', 'C5', 'C8', 'C3', 'C4', 'C1', 'C7', 'C10', 'C11', 'C12', 'C16', 'C17']"
ar,"['C8', 'C2', 'C17', 'C3', 'C5', 'C6', 'C9', 'C11', 'C15', 'C10', 'C16', 'C7', 'C12', 'C4', 'C14', 'C1', 'C13']"
ag,"['C3', 'C11', 'C8', 'C15', 'C16', 'C5', 'C1', 'C13', 'C6', 'C2', 'C4', 'C17', 'C7', 'C10', 'C12', 'C14', 'C9']"
bc,"['C17', 'C10', 'C2', 'C3', 'C6', 'C16', 'C9', 'C11', 'C13', 'C5', 'C7', 'C14', 'C12', 'C8', 'C4', 'C15', 'C1']"
bh,"['C1', 'C5', 'C15', 'C2', 'C13', 'C3', 'C11', 'C4', 'C9', 'C14', 'C10', 'C17', 'C8', 'C7', 'C6', 'C16', 'C12']"
bn,"['C17', 'C16', 'C13', 'C10', 'C11', 'C8', 'C9', 'C12', 'C14', 'C2', 'C1', 'C15', 'C7', 'C5', 'C4', 'C3', 'C6']"
bt,"['C15', 'C13', 'C12', 'C11', 'C2', 'C8', 'C9', 'C4', 'C7', 'C6', 'C14', 'C3', 'C17', 'C5', 'C10', 'C16', 'C1']"
br,"['C11', 'C6', 'C17', 'C5', 'C15', 'C12', 'C10', 'C16', 'C8', 'C4', 'C13', 'C3', 'C9', 'C7', 'C2', 'C1', 'C14']"
bv,"['C7', 'C17', 'C11', 'C5', 'C6', 'C8', 'C1', 'C13', 'C14', 'C9', 'C10', 'C16', 'C12', 'C15', 'C4', 'C3', 'C2']"
bz,"['C17', 'C16', 'C2', 'C14', 'C3', 'C4', 'C6', 'C8', 'C9', 'C11', 'C10', 'C7', 'C5', 'C12', 'C13', 'C15', 'C1']"
cl,"['C2', 'C14', 'C4', 'C6', 'C10', 'C16', 'C9', 'C7', 'C5', 'C1', 'C11', 'C12', 'C15', 'C8', 'C13', 'C3', 'C17']"
cs,"['C10', 'C7', 'C9', 'C14', 'C12', 'C3', 'C6', 'C4', 'C15', 'C2', 'C16', 'C8', 'C17', 'C5', 'C11', 'C13', 'C1']"
cj,"['C1', 'C3', 'C16', 'C4', 'C5', 'C6', 'C7', 'C9', 'C15', 'C8', 'C11', 'C12', 'C14', 'C17', 'C10', 'C13', 'C2']"
ct,"['C1', 'C5', 'C15', 'C11', 'C16', 'C8', 'C7', 'C4', 'C2', 'C10', 'C3', 'C12', 'C17', 'C13', 'C14', 'C6', 'C9']"
cv,"['C17', 'C11', 'C2', 'C8', 'C16', 'C10', 'C9', 'C14', 'C15', 'C12', 'C13', 'C7', 'C6', 'C5', 'C4', 'C3', 'C1']"
db,"['C9', 'C6', 'C15', 'C14', 'C2', 'C3', 'C11', 'C4', 'C5', 'C8', 'C17', 'C7', 'C16', 'C10', 'C12', 'C13', 'C1']"
dj,"['C6', 'C2', 'C14', 'C13', 'C3', 'C11', 'C10', 'C16', 'C4', 'C17', 'C1', 'C7', 'C5', 'C15', 'C9', 'C8', 'C12']"
gl,"['C17', 'C8', 'C4', 'C5', 'C6', 'C12', 'C7', 'C1', 'C13', 'C14', 'C16', 'C3', 'C9', 'C10', 'C11', 'C15', 'C2']"
gr,"['C7', 'C2', 'C13', 'C12', 'C4', 'C6', 'C16', 'C1', 'C3', 'C17', 'C8', 'C10', 'C11', 'C14', 'C15', 'C9', 'C5']"
gj,"['C17', 'C15', 'C14', 'C5', 'C10', 'C6', 'C7', 'C3', 'C4', 'C1', 'C16', 'C11', 'C13', 'C8', 'C12', 'C2', 'C9']"
hr,"['C17', 'C10', 'C8', 'C9', 'C14', 'C12', 'C15', 'C7', 'C6', 'C5', 'C4', 'C3', 'C2', 'C1', 'C13', 'C11', 'C16']"
hd,"['C17', 'C15', 'C13', 'C3', 'C5', 'C10', 'C7', 'C2', 'C6', 'C1', 'C8', 'C16', 'C11', 'C12', 'C4', 'C14', 'C9']"
il,"['C2', 'C17', 'C14', 'C16', 'C8', 'C7', 'C6', 'C10', 'C3', 'C4', 'C9', 'C11', 'C12', 'C13', 'C1', 'C5', 'C15']"
is,"['C1', 'C11', 'C5', 'C2', 'C4', 'C10', 'C9', 'C12', 'C14', 'C15', 'C3', 'C8', 'C17', 'C16', 'C7', 'C6', 'C13']"
if,"['C17', 'C5', 'C11', 'C7', 'C4', 'C2', 'C14', 'C13', 'C10', 'C16', 'C8', 'C3', 'C9', 'C6', 'C12', 'C15', 'C1']"
mm,"['C8', 'C9', 'C3', 'C12', 'C10', 'C7', 'C2', 'C4', 'C6', 'C17', 'C13', 'C14', 'C15', 'C1', 'C16', 'C11', 'C5']"
mh,"['C7', 'C15', 'C14', 'C13', 'C12', 'C2', 'C16', 'C6', 'C9', 'C3', 'C1', 'C8', 'C10', 'C11', 'C5', 'C4', 'C17']"
b,"['C1', 'C14', 'C12', 'C2', 'C8', 'C17', 'C13', 'C11', 'C10', 'C7', 'C6', 'C5', 'C4', 'C3', 'C15', 'C9', 'C16']"
ms,"['C17', 'C13', 'C3', 'C10', 'C9', 'C14', 'C8', 'C4', 'C1', 'C16', 'C7', 'C2', 'C12', 'C11', 'C6', 'C5', 'C15']"
nt,"['C15', 'C13', 'C8', 'C3', 'C11', 'C7', 'C2', 'C5', 'C17', 'C6', 'C4', 'C9', 'C16', 'C10', 'C12', 'C1', 'C14']"
ot,"['C17', 'C15', 'C12', 'C8', 'C4', 'C14', 'C11', 'C16', 'C5', 'C2', 'C3', 'C9', 'C6', 'C10', 'C13', 'C1', 'C7']"
ph,"['C17', 'C15', 'C13', 'C12', 'C11', 'C7', 'C3', 'C4', 'C5', 'C1', 'C16', 'C14', 'C8', 'C2', 'C6', 'C10', 'C9']"
sj,"['C17', 'C15', 'C14', 'C16', 'C2', 'C7', 'C8', 'C9', 'C13', 'C10', 'C11', 'C12', 'C6', 'C5', 'C4', 'C3', 'C1']"
sm,"['C4', 'C12', 'C11', 'C8', 'C10', 'C16', 'C1', 'C7', 'C2', 'C6', 'C17', 'C13', 'C15', 'C9', 'C5', 'C14', 'C3']"
sb,"['C16', 'C9', 'C14', 'C10', 'C5', 'C7', 'C2', 'C4', 'C6', 'C17', 'C8', 'C12', 'C13', 'C15', 'C1', 'C11', 'C3']"
sv,"['C17', 'C15', 'C2', 'C12', 'C3', 'C16', 'C14', 'C7', 'C6', 'C11', 'C5', 'C4', 'C9', 'C8', 'C10', 'C13', 'C1']"
tr,"['C2', 'C7', 'C15', 'C13', 'C4', 'C9', 'C5', 'C1', 'C16', 'C8', 'C10', 'C6', 'C11', 'C12', 'C3', 'C14', 'C17']"
tm,"['C16', 'C4', 'C13', 'C12', 'C5', 'C9', 'C3', 'C1', 'C2', 'C8', 'C6', 'C11', 'C14', 'C15', 'C17', 'C10', 'C7']"
tl,"['C10', 'C2', 'C5', 'C6', 'C7', 'C9', 'C3', 'C1', 'C11', 'C14', 'C16', 'C8', 'C12', 'C13', 'C4', 'C15', 'C17']"
vl,"['C3', 'C13', 'C10', 'C7', 'C6', 'C15', 'C14', 'C11', 'C16', 'C12', 'C2', 'C5', 'C17', 'C9', 'C4', 'C8', 'C1']"
vs,"['C9', 'C8', 'C2', 'C14', 'C13', 'C6', 'C17', 'C11', 'C12', 'C15', 'C7', 'C4', 'C5', 'C10', 'C16', 'C3', 'C1']"
vn,"['C16', 'C7', 'C3', 'C13', 'C12', 'C10', 'C17', 'C4', 'C6', 'C9', 'C8', 'C11', 'C14', 'C15', 'C1', 'C5', 'C2']"
