Judet,Indicativ,Agricultura vanatoare,Silvicultura exploatarea forestiera,Pescuit si piscicultura,Industria extractiva,D Industria prelucratoare,Energie electrica si termica gaze si apa,Constructii,Comert,Hoteluri si restaurante,Transport si depozitare,Posta si telecomunicatii,Intermedieri financiare,Tranzactii imobiliare si alte servicii,Administratie publica si aparare,Invatamant,Sanatate si asistenta sociala,Celelalte activitati ale economiei nationale
Alba,ab,48.7,0.8,0.1,0.7,45.9,2.4,8.3,21.1,3.3,7.3,1.1,1.4,6.6,4,7.8,7.1,2
Arad,ar,45.3,1.2,0.1,1.2,61.7,2.3,12.6,30.9,3.1,10.5,1.2,2.1,9.6,4.7,8.9,8.4,4.4
Arges,ag,68.2,1.2,76.3,69.6,4.2,21.2,28.4,4.5,10.4,1.4,2.6,12.6,5.9,12.2,8.9,3.6,3
Bacau,bc,65.1,1.3,0.1,4,40.8,3.7,23.2,29,2.3,7.4,2.1,2.1,8.9,5.1,12.9,11.3,4.4
Bihor,bh,84.7,0.7,0.1,2.3,63.1,3.5,16.3,37.5,5.1,12,1.5,2.4,10.9,5.3,13.6,14,2.6
Bistrita-Nasaud,bn,42.3,0.7,31.5,30,1.2,8.8,15.2,1.9,5.7,0.6,1.1,3.7,3.4,6.1,5.7,2.1,2
Botosani,bt,73.4,0.5,0.2,21.3,1.3,6.4,14.1,1.5,4.3,0.9,1,4.2,3.5,7.9,7.3,2.4,2.2
Braila,br,37.9,0.2,31.9,29.1,2.1,12.3,16.7,2.1,5.1,0.8,1.2,5.9,3.8,6,6.4,2.8,2.6
Brasov,bv,30,0.8,63.7,59,3.8,27.8,41.3,8.6,14.9,2,2.9,16.1,5.4,13.8,10.1,4.2,4
Buzau,bz,72.3,0.5,0.1,1.4,36.1,1.9,8.2,21.4,1.9,5.4,1.1,1.2,5.3,4.6,7.8,7.1,2.3
Calarasi,cl,47.4,0.3,0.2,0.1,15.6,1.1,4.2,9,0.8,3,0.6,0.6,3.7,3.1,4.9,5,1.7
Caras-Severin,cs,39.6,1.6,26.8,24.2,2.1,8,12.1,2.4,5.9,0.9,0.9,4.5,4.3,5.8,6.4,2.7,2.5
Cluj,cj,71.8,0.5,73.8,68.1,4.4,29.1,52.2,6.8,19.2,3.5,5.7,21.4,5.4,20.5,19,9.2,9
Constanta,ct,63.3,0.3,0.2,2,47.1,6.6,35.1,45.8,10.5,28.1,2,3.6,18.5,7.1,12.8,14.3,11.7
Covasna,cv,23.1,0.6,26,24.6,1.1,4.1,12,1.8,3.1,0.6,0.8,3.3,2.3,4.8,3.6,1.5,1.4
Dambovita,db,69.2,0.7,0.1,3.5,43.9,2.5,7.8,24.2,2.8,9.2,0.9,1,8,5.1,9.2,8.5,1.9
Dolj,dj,107,0.6,0.1,1.7,41.6,5,17.9,37.2,3.9,9,1.9,2.4,10.5,7,14,13.2,3.6
Galati,gl,59.1,0.2,46.3,41.4,4.3,18.1,25.2,3.3,11.8,1.7,2.1,11.1,5.3,10.8,9.3,3.7,3.4
Giurgiu,gr,45.1,0.3,9.1,6.6,1.1,6.6,7.2,0.5,3.8,0.6,0.6,3.1,3.1,3.4,3.8,1.4,1.2
Gorj,gj,38.2,0.7,37.4,16.8,5,13.6,13.2,2.1,5.5,0.9,1.1,7.8,4.1,7,6.5,2.2,2.1
